figure_id,text,font_family,font_size_pt,hard_minimum_pass,times_new_roman_pass
Figure 1,Committed state,Times New Roman,11.5,1,1
Figure 1,solver-managed SVARS,Times New Roman,11.0,1,1
Figure 1,CAP_REF = $C_n$,Times New Roman,11.0,1,1
Figure 1,accepted $x_n$,Times New Roman,11.0,1,1
Figure 1,Trial A,Times New Roman,11.5,1,1
Figure 1,"candidate $x_A, C_A$",Times New Roman,11.0,1,1
Figure 1,may be rejected,Times New Roman,11.0,1,1
Figure 1,Trial B,Times New Roman,11.5,1,1
Figure 1,same declared input,Times New Roman,11.0,1,1
Figure 1,must restart from $C_n$,Times New Roman,11.0,1,1
Figure 1,Unsafe private cache,Times New Roman,11.5,1,1
Figure 1,trial writes $C_A$,Times New Roman,11.0,1,1
Figure 1,rejection cannot restore it,Times New Roman,11.0,1,1
Figure 1,Solver-managed repair,Times New Roman,11.5,1,1
Figure 1,candidate remains in,Times New Roman,11.0,1,1
Figure 1,solver-managed SVARS,Times New Roman,11.0,1,1
Figure 1,commit only after acceptance,Times New Roman,11.0,1,1
Figure 1,history leak,Times New Roman,11.0,1,1
Figure 1,"Equal-state replay, rejection order, cutback and restart are independent gates; | the repair is bounded to the identified CAP_REF path.",Times New Roman,11.0,1,1
Figure 2,Relations,Times New Roman,11.5,1,1
Figure 2,"$p_{eq},p_c,K$",Times New Roman,11.0,1,1
Figure 2,branches,Times New Roman,11.0,1,1
Figure 2,Residual,Times New Roman,11.5,1,1
Figure 2,"$R_u,R_p,R_s$",Times New Roman,11.0,1,1
Figure 2,units/signs,Times New Roman,11.0,1,1
Figure 2,Matrix,Times New Roman,11.5,1,1
Figure 2,$J_{phys}$,Times New Roman,11.0,1,1
Figure 2,$J_{num}$ / raw,Times New Roman,11.0,1,1
Figure 2,State,Times New Roman,11.5,1,1
Figure 2,committed,Times New Roman,11.0,1,1
Figure 2,trial/diagnostic,Times New Roman,11.0,1,1
Figure 2,Host,Times New Roman,11.5,1,1
Figure 2,RHS/AMATRX,Times New Roman,11.0,1,1
Figure 2,accept/reject,Times New Roman,11.0,1,1
Figure 2,Matrix entry,Times New Roman,11.5,1,1
Figure 2,paired with residual?,Times New Roman,11.0,1,1
Figure 2,physical or numerical?,Times New Roman,11.0,1,1
Figure 2,Changed state,Times New Roman,11.5,1,1
Figure 2,who owns/commits it?,Times New Roman,11.0,1,1
Figure 2,can rejection restore it?,Times New Roman,11.0,1,1
Figure 2,Passing derivative,Times New Roman,11.5,1,1
Figure 2,which branch/direction?,Times New Roman,11.0,1,1
Figure 2,does it imply a basin?,Times New Roman,11.0,1,1
Figure 2,"Reverse audit prevents matrix, state and convergence claims from being conflated.",Times New Roman,11.0,1,1
Figure 3,(a),Times New Roman,12.0,1,1
Figure 3,"perturbation scale, h",Times New Roman,11.0,1,1
Figure 3,1e-10,Times New Roman,11.0,1,1
Figure 3,1e-10,Times New Roman,11.0,1,1
Figure 3,1e-8,Times New Roman,11.0,1,1
Figure 3,1e-8,Times New Roman,11.0,1,1
Figure 3,1e-6,Times New Roman,11.0,1,1
Figure 3,1e-6,Times New Roman,11.0,1,1
Figure 3,1e-4,Times New Roman,11.0,1,1
Figure 3,1e-4,Times New Roman,11.0,1,1
Figure 3,1e-2,Times New Roman,11.0,1,1
Figure 3,1e-2,Times New Roman,11.0,1,1
Figure 3,1e0,Times New Roman,11.0,1,1
Figure 3,1e0,Times New Roman,11.0,1,1
Figure 3,1e2,Times New Roman,11.0,1,1
Figure 3,1e2,Times New Roman,11.0,1,1
Figure 3,error / applicable gate,Times New Roman,11.0,1,1
Figure 3,1e-16,Times New Roman,11.0,1,1
Figure 3,1e-16,Times New Roman,11.0,1,1
Figure 3,1e-13,Times New Roman,11.0,1,1
Figure 3,1e-13,Times New Roman,11.0,1,1
Figure 3,1e-10,Times New Roman,11.0,1,1
Figure 3,1e-10,Times New Roman,11.0,1,1
Figure 3,1e-7,Times New Roman,11.0,1,1
Figure 3,1e-7,Times New Roman,11.0,1,1
Figure 3,1e-4,Times New Roman,11.0,1,1
Figure 3,1e-4,Times New Roman,11.0,1,1
Figure 3,1e-1,Times New Roman,11.0,1,1
Figure 3,1e-1,Times New Roman,11.0,1,1
Figure 3,1e2,Times New Roman,11.0,1,1
Figure 3,1e2,Times New Roman,11.0,1,1
Figure 3,1e5,Times New Roman,11.0,1,1
Figure 3,1e5,Times New Roman,11.0,1,1
Figure 3,1e8,Times New Roman,11.0,1,1
Figure 3,1e8,Times New Roman,11.0,1,1
Figure 3,1e11,Times New Roman,11.0,1,1
Figure 3,1e11,Times New Roman,11.0,1,1
Figure 3,M1 KPU: registered omission,Times New Roman,11.5,1,1
Figure 3,(b),Times New Roman,12.0,1,1
Figure 3,"perturbation scale, h",Times New Roman,11.0,1,1
Figure 3,1e-10,Times New Roman,11.0,1,1
Figure 3,1e-10,Times New Roman,11.0,1,1
Figure 3,1e-8,Times New Roman,11.0,1,1
Figure 3,1e-8,Times New Roman,11.0,1,1
Figure 3,1e-6,Times New Roman,11.0,1,1
Figure 3,1e-6,Times New Roman,11.0,1,1
Figure 3,1e-4,Times New Roman,11.0,1,1
Figure 3,1e-4,Times New Roman,11.0,1,1
Figure 3,1e-2,Times New Roman,11.0,1,1
Figure 3,1e-2,Times New Roman,11.0,1,1
Figure 3,1e0,Times New Roman,11.0,1,1
Figure 3,1e0,Times New Roman,11.0,1,1
Figure 3,1e2,Times New Roman,11.0,1,1
